tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_common,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borough,cncldist,st_assem,st_senate,nta,nta_name,latitude,longitude
170569,339194,2015-08-24,5,0,OnCurb,alive,good,callery pear,No,No,No,No,No,No,No,No,No,3-024 BEACH 13 STREET,11691,Far Rockaway,414,queens,31,23,10,QN15,Far Rockaway-Bayswater,40.59814997,-73.74702946
374591,207854,2015-10-25,11,0,OnCurb,alive,good,green ash,No,No,No,No,No,No,No,No,No,2875 WEST 5 STREET,11224,Brooklyn,313,brooklyn,48,46,23,BK23,West Brighton,40.57929415,-73.9721004
114608,409042,2015-08-03,12,0,OnCurb,alive,good,norway maple,Yes,No,No,No,No,No,No,No,No,450 RICHMOND HILL ROAD,10314,Staten Island,502,staten island,51,63,24,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,40.5817523,-74.15481147
25523,227376,2015-06-18,19,0,OnCurb,alive,fair,american elm,No,No,No,No,No,No,No,No,No,464 EASTERN PARKWAY,11225,Brooklyn,309,brooklyn,35,43,20,BK63,Crown Heights South,40.66980729,-73.95290802
286637,210353,2015-10-06,6,0,OnCurb,alive,fair,cherry,No,No,No,No,No,No,No,No,No,416 QUENTIN ROAD,11223,Brooklyn,315,brooklyn,44,45,22,BK25,Homecrest,40.60675927,-73.97052212
302972,229613,2015-10-09,18,0,OnCurb,alive,good,london planetree,No,No,No,No,No,No,No,No,No,1545 EAST 21 STREET,11210,Brooklyn,314,brooklyn,48,41,17,BK43,Midwood,40.61534777,-73.95330667
686318,231585,2016-08-29,23,0,OffsetFromCurb,alive,good,london planetree,No,No,No,No,No,No,No,No,No,475 EAST 57 STREET,11203,Brooklyn,317,brooklyn,45,58,21,BK96,Rugby-Remsen Village,40.64352406,-73.92281117
566906,332789,2016-05-26,14,0,OnCurb,alive,good,honeylocust,No,No,No,No,No,No,No,No,No,119-024 227 STREET,11411,Cambria Heights,413,queens,27,33,14,QN33,Cambria Heights,40.68937051,-73.7361108
511039,411527,2015-12-11,4,0,OnCurb,dead,unknown,unknown,No,No,No,No,No,No,No,No,No,50 SEIDMAN AVENUE,10312,Staten Island,503,staten island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,40.53887224,-74.16725405
197270,408969,2015-09-02,3,0,OnCurb,alive,poor,cherry,No,No,No,No,No,No,No,No,No,47 ROSWELL AVENUE,10314,Staten Island,502,staten island,50,63,24,SI05,New Springville-Bloomfield-Travis,40.59028933,-74.19012021
